#{"t_start": 1746695570.1572256, "env_id": "CartPole-v1"}
r,l,t
18.0,18,2.309294
16.0,16,2.316661
24.0,24,2.324758
25.0,25,2.331485
11.0,11,2.334295
15.0,15,2.338
49.0,49,2.351821
18.0,18,2.357198
28.0,28,2.36567
30.0,30,2.374839
12.0,12,2.378324
19.0,19,2.383772
13.0,13,2.387058
15.0,15,2.391318
14.0,14,2.396069
12.0,12,2.399624
45.0,45,2.411325
32.0,32,2.420242
23.0,23,2.426138
33.0,33,2.435213
27.0,27,2.441704
22.0,22,2.447375
23.0,23,2.455518
15.0,15,2.459235
10.0,10,2.461724
38.0,38,2.472207
17.0,17,2.47634
25.0,25,2.482505
11.0,11,2.48707
10.0,10,2.4911
20.0,20,2.496374
12.0,12,2.500144
28.0,28,2.507898
23.0,23,2.513504
19.0,19,2.518336
15.0,15,2.523318
16.0,16,2.52744
18.0,18,2.531869
19.0,19,2.536673
18.0,18,2.541105
29.0,29,2.549562
19.0,19,2.556042
84.0,84,2.584961
15.0,15,2.588993
15.0,15,2.592941
45.0,45,2.612056
31.0,31,2.620627
19.0,19,2.625762
27.0,27,2.634108
20.0,20,2.639951
25.0,25,2.648008
34.0,34,2.661556
13.0,13,2.669101
17.0,17,2.675724
15.0,15,2.681168
26.0,26,2.690099
32.0,32,2.701671
15.0,15,2.706353
12.0,12,2.709774
11.0,11,2.713737
13.0,13,2.717912
11.0,11,2.720823
18.0,18,2.725759
22.0,22,2.732533
12.0,12,2.736301
32.0,32,2.744486
17.0,17,2.749141
18.0,18,2.754108
16.0,16,2.76045
28.0,28,2.769028
30.0,30,2.779879
19.0,19,2.785724
24.0,24,2.791918
13.0,13,2.795564
12.0,12,2.798859
16.0,16,2.803445
15.0,15,2.807333
10.0,10,2.809876
15.0,15,2.815915
31.0,31,2.824098
9.0,9,2.826355
14.0,14,2.830621
17.0,17,2.835363
14.0,14,2.838904
14.0,14,2.842951
24.0,24,2.849505
25.0,25,2.855534
28.0,28,2.866366
18.0,18,2.872484
12.0,12,2.875966
22.0,22,2.883267
18.0,18,2.888662
16.0,16,2.892719
29.0,29,2.901161
15.0,15,2.905635
13.0,13,2.912967
24.0,24,2.920441
28.0,28,10.061967
16.0,16,10.067269
12.0,12,10.071295
23.0,23,10.078048
16.0,16,10.083175
51.0,51,10.097897
22.0,22,10.106463
41.0,41,10.118553
22.0,22,10.126123
15.0,15,10.130247
19.0,19,10.135732
12.0,12,10.139
54.0,54,10.153932
47.0,47,10.168665
26.0,26,10.176215
19.0,19,10.181636
11.0,11,10.185069
17.0,17,10.189487
19.0,19,10.194901
25.0,25,10.203621
35.0,35,10.213093
27.0,27,10.220715
12.0,12,10.225705
25.0,25,10.23325
25.0,25,10.239432
18.0,18,10.244788
9.0,9,10.247081
38.0,38,10.257685
23.0,23,10.263567
36.0,36,10.284798
18.0,18,10.289769
58.0,58,10.313701
17.0,17,10.318994
22.0,22,10.324898
35.0,35,10.335464
44.0,44,10.349831
69.0,69,10.370387
18.0,18,10.375674
30.0,30,10.385499
50.0,50,10.399387
29.0,29,10.409569
14.0,14,10.414007
21.0,21,10.420012
22.0,22,10.426199
79.0,79,10.451671
34.0,34,10.461649
21.0,21,10.467355
29.0,29,10.475194
15.0,15,10.479666
46.0,46,10.492337
47.0,47,10.505044
11.0,11,10.509707
43.0,43,10.522498
30.0,30,10.531651
36.0,36,10.542618
9.0,9,10.545617
24.0,24,10.551646
26.0,26,10.559699
27.0,27,10.567992
82.0,82,10.590587
17.0,17,10.597389
18.0,18,10.603824
29.0,29,10.614102
62.0,62,10.63316
18.0,18,10.63781
37.0,37,10.650661
31.0,31,10.659643
84.0,84,10.686852
23.0,23,10.693588
36.0,36,11.636796
51.0,51,11.651575
24.0,24,11.660002
23.0,23,11.666519
56.0,56,11.682825
13.0,13,11.686765
14.0,14,11.690535
13.0,13,11.694615
43.0,43,11.711903
56.0,56,11.734924
149.0,149,11.845599
39.0,39,11.866168
25.0,25,11.874765
22.0,22,11.884238
29.0,29,11.895851
16.0,16,11.899881
34.0,34,11.908313
18.0,18,11.913296
124.0,124,11.945394
57.0,57,11.974159
15.0,15,11.982561
47.0,47,12.000768
27.0,27,12.011586
14.0,14,12.01717
25.0,25,12.026784
58.0,58,12.046249
39.0,39,12.057012
15.0,15,12.061029
36.0,36,12.072423
29.0,29,12.080699
48.0,48,12.093961
20.0,20,12.100576
30.0,30,12.111216
139.0,139,12.15126
56.0,56,12.165266
31.0,31,12.175213
46.0,46,12.19207
26.0,26,12.201359
24.0,24,12.209443
79.0,79,12.229316
102.0,102,12.262576
25.0,25,12.278232
30.0,30,12.295409
55.0,55,12.320486
94.0,94,12.35858
23.0,23,12.366836
73.0,73,12.396239
43.0,43,13.352033
202.0,202,13.410774
142.0,142,13.450989
18.0,18,13.455817
92.0,92,13.484366
43.0,43,13.50256
65.0,65,13.521312
104.0,104,13.560097
75.0,75,13.579711
118.0,118,13.61512
31.0,31,13.623677
26.0,26,13.631872
108.0,108,13.664001
18.0,18,13.670112
37.0,37,13.679987
53.0,53,13.706979
17.0,17,13.716734
42.0,42,13.735508
57.0,57,13.751404
85.0,85,13.773106
99.0,99,13.799098
49.0,49,13.813515
14.0,14,13.818196
94.0,94,13.847314
34.0,34,13.855876
77.0,77,13.878914
27.0,27,13.88671
59.0,59,13.905501
22.0,22,13.919412
40.0,40,13.937814
62.0,62,13.956819
47.0,47,13.971806
28.0,28,13.979923
44.0,44,14.963534
44.0,44,14.976197
216.0,216,15.03962
123.0,123,15.087652
121.0,121,15.173241
34.0,34,15.187432
99.0,99,15.215302
78.0,78,15.247098
104.0,104,15.279401
113.0,113,15.311638
141.0,141,15.369587
141.0,141,15.444659
172.0,172,15.539036
50.0,50,15.553207
105.0,105,15.582847
